sieve_size_mm,percent_passing
0.10000147675586271, 0.23923444976075814
0.10679307696851556, 0.4784688995215305
0.1234656506586331, 1.4354066985645915
0.150645342312009, 4.5454545454545325
0.16490342016657805, 14.354066985645929
0.1791600212652844, 23.92344497607654
0.18911040226829698, 35.88516746411483
0.2040108689231496, 49.76076555023923
0.21580571799870046, 60.52631578947368
0.2220228601807549, 67.70334928229664
0.23071061492114125, 75.11961722488037
0.23816823202788118, 83.2535885167464
0.24996160434756926, 93.77990430622009
0.30061580719475456, 99.76076555023923
0.36666666666666664, 100
